query,extension,sink_file,sink_line
"Code injection","adgrafik_fal-ftp","/adgrafik_fal-ftp/Resources/Private/Script/.FalFtpRemoteService.php","18"
"Code injection","ameos_ameos_form","/ameos_ameos_form/Classes/Domain/Repository/Trait/SearchableRepository.php","20"
"Code injection","ameos_ameos_form","/ameos_ameos_form/Classes/Domain/Repository/Trait/SearchableRepository.php","49"
"Path traversal","ambersive_h5p","/ambersive_h5p/Resources/Public/Lib/h5p-core/h5p-default-storage.class.php","314"
"Path traversal","ambersive_h5p","/ambersive_h5p/Resources/Public/Lib/h5p-core/h5p-default-storage.class.php","550"
"Path traversal","amdeu_typo3-label-editor","/amdeu_typo3-label-editor/Classes/Backend/Service/TranslationService.php","124"
"Path traversal","ameos_ameos_form","/ameos_ameos_form/Classes/EventListener/MoveTemporaryFile.php","30"
"Reflected XSS","ambersive_h5p","/ambersive_h5p/Resources/Public/Lib/h5p-core/h5p-default-storage.class.php","554"
"Reflected XSS","ambersive_h5p","/ambersive_h5p/Resources/Public/Lib/h5p-core/h5p-default-storage.class.php","559"
"Command injection","andersundsehr_sentry-bridge","/andersundsehr_sentry-bridge/Tests/Helper/MockApi.php","44"
"Path traversal","andersundsehr_aus-driver-amazon-s3","/andersundsehr_aus-driver-amazon-s3/Classes/Driver/AmazonS3Driver.php","213"
"Path traversal","andersundsehr_sentry-bridge","/andersundsehr_sentry-bridge/Tests/Helper/MockApi.php","74"
"Path traversal","andersundsehr_sentry-bridge","/andersundsehr_sentry-bridge/Tests/Helper/MockApi.php","79"
"Path traversal","andersundsehr_sentry-bridge","/andersundsehr_sentry-bridge/Tests/Helper/MockApi.php","135"
"Path traversal","andersundsehr_sentry_cron_monitor","/andersundsehr_sentry_cron_monitor/Classes/Xclass/Scheduler.php","77"
"Path traversal","andersundsehr_ssi-include","/andersundsehr_ssi-include/Classes/Middleware/InternalSsiRedirectMiddleware.php","37"
"Path traversal","andersundsehr_ssi-include","/andersundsehr_ssi-include/Classes/Middleware/InternalSsiRedirectMiddleware.php","61"
"Code injection","aoe_extracache","/aoe_extracache/modfunc1/class.tx_extracache_modfunc1.php","73"
"Unsafe deserialization","aoe_directrequest","/aoe_directrequest/cli/request.php","63"
